ingredient_id,ingredient_eng,ingredient_kor,function,description,skin_concerns
ingr_0194,Trehalose,트레할로스,,A type of sugar that has water-binding properties and helps to keep your skin hydrated .,
ingr_0195,Beta Vulgaris Root Extract,비트뿌리추출물,,"Beetroot is a beautifully colored vegetable that you probably know from the kitchen. As for skincare - according to manufacturer info - it works as a natural moisturizer that might be able to increase the concentration of NMFs (natural moisturizing factors) in the upper layer of the skin giving skin both immediate and longer term hydration. According to Paula's Choice , it's also a colorant and a source of antioxidants .",
ingr_0196,Cassia Alata Leaf Extract,카시아알라타잎추출물,,Candle tree is a nice plant with beautiful yellow flowers that's native to Mexico. It's a medicinal tree that has very effective fungicidal properties and is used traditionally to treat fungal infections of the skin. Modern studies confirm antimicrobial as well as anti-inflammatory activity of the tree. According to manufacturer info it's even a great anti-aging plant extract that gives DNA protection from UV rays and supports the natural repairing process of the skin cells.,
ingr_0197,Tromethamine,트로메타민,,It's a little helper ingredient that helps to set the pH of the products to be right. It has an alkaline pH and can neutralize acidic ingredients.,
ingr_0198,Acetic Acid,아세트산,,"The acid found in vinegar . Can be a skin irritant and drying in larger amounts but in tiny amounts, it's used to set the pH of the cosmetic formula. Has also some disinfecting properties.",
ingr_0199,Hexapeptide-9,헥사펩타이드-9,,"An anti-aging peptide that can visibly reduce the length and depth of wrinkles, at least according to its manufacturer . In vitro (meaning it was done in the lab, not on real people) studies show that it enhances epidermal regeneration, collagen type I and III synthesis as well as the synthesis of other important skin proteins.",
ingr_0200,Methylisothiazolinone,메칠이소치아졸리논,,"As you may guess, if something is only recommended in products that you rinse off (cleansers and shampoos), then it’s probably not the best ingredient for the skin. Methylisothiazolinone (MI) is a preservative that' super efficient against bacteria at surprisingly low concentrations. The problem with it though is that it can also sensitize and irritate the skin quite easily when it comes in leave-on formulas. Currently, some countries are considering to ban it entirely (like Denmark ) and the permitted use level is very low ( under 0.01% ). Luckily there are plenty of products on the market with other preservative options so if you are a better safe than sorry type it's probably best to avoid it.",
ingr_0201,"1,2-Hexanediol","1,2-헥산다이올",,"A really multi-functional helper ingredient that can do several things in a skincare product: it can bring a soft and pleasant feel to the formula, it can act as a humectant and emollient , it can be a solvent for some other ingredients (for example it can help to stabilize perfumes in watery products) and it can also help to disperse pigments more evenly in makeup products. And that is still not all: it can also boost the antimicrobial activity of preservatives .",
ingr_0202,Ci 19140,황색4호,,"Ci 19140  or Tartrazine is a super common colorant in skincare, makeup, medicine & food. It’s a synthetic lemon yellow that's used alone or mixed with other colors for special shades. FDA says it's possible, but rare, to have an allergic-type reaction to a color additive. As an example, it mentions that Ci 19140 may cause itching and hives in some people but the colorant is always labeled so that you can avoid it if you are sensitive.",
ingr_0203,Raffinose,라피노오스,,"It's a so-called trisaccharide (consists of three monosaccharides: glucose , fructose , and galactose) that - similar to other sugar-type ingredients - works as a water-binding, moisturizer ingredient on the skin.",
ingr_0204,Ci 42090,청색1호,,"CI 42090 or Blue 1 is a super common synthetic colorant in beauty & food. Used alone, it adds a brilliant smurf-like blue color , combined with Tartrazine , it gives the fifty shades of green.",
ingr_0205,Ascorbyl Palmitate,아스코빌팔미테이트,,"A form of skincare superstar, vitamin C . Even though we are massive vitamin C fans,  Ascorbyl Palmitate  (AP) is our least favorite. (Btw, if you do not know what the big deal with vitamin C is then you are missing out. You must go and read our geeky details about it.) So, AP is one of the attempts by the cosmetics industry to solve the stability issues with vitamin C while preserving its benefits,  but it seems to fall short on several things. What's the problem? Firstly, it's stability is only similar to that of pure ascorbic acid (AA), which means it is not really stable. A great study in the Journal of Cosmetic Dermatology compared a bunch of vitamin C derivatives and this derivative was the only one where the study said in terms of stability that it's ""similar to AA"". Not really that good. Second, a study that examined the skin absorption of vitamin C found that ascorbyl palmitate did not increase the skin levels of AA . This does not mean that ascorbyl palmitate cannot penetrate the skin (because it can, it's oil soluble and the skin likes to absorb oil soluble things) but this means that it's questionable if ascorbyl palmitate can be converted into pure Vit C in the skin . Even if it can be converted, the palmitate part of the molecule is more than the half of it, so the efficacy will not be good and we have never seen a serum that contains a decent (and proudly disclosed) amount of AP.  We are highly skeptical what effect a tiny amount of AP has in a formula. Third, another study that wanted to examine the antioxidant properties of AP was surprised to find that even though AP does have nice antioxidant properties; following UVB radiation (the same one that comes from the sun) it also promotes lipid peroxidation and cytotoxicity . It was only an in-vitro study meaning that it was done on cell cultures and not on real people, but still, this also does not support the use of AP too much. The only good thing we can write about Ascorbyl Palmitate is that there is an in-vitro (made in the lab, not on real people) study showing that it might be able to boost collagen production. Regarding the skin-brightening properties of pure vitamin C, this is another magic property AP does not have, or at least there is no data, not even in-vitro, about it. Overall , Ascorbyl Palmitate is our least favorite vitamin C derivative . It is there in lots of products in tiny amounts (honestly, we do not really understand why), however, we do not know about any vitamin C serum featuring AP in high amounts. That is probably no coincidence. If you are into vitamin C, you can take a look at more promising derivatives here .",
ingr_0206,Lactobacillus/​Pumpkin Ferment Extract,락토바실러스/호박발효추출물,,"When you hear pumpkin you probably think of Halloween or autumn, but it turns out that many forms of pumpkin are also great skincare ingredients. This particular form is obtained by fermenting the pumpkin fruit with lactobacillus lactis . During the fermentation, many of the complex biomolecules are broken down into isolated phytochemicals and selective filtration techniques are used to isolate the proteolytic parts.  The result is pumpkin enzyme that is a gentle exfoliator that can be an alternative to AHAs . According to the manufacturer , 4% glycolic acid has a similar effect on cell renewal as 5% pumpkin enzyme. In an irritation test, the ingredient did not irritate even the sensitive eye tissue and was hardly more irritating than glycerin . All in all, pumpkin enzyme seems to be a promising gentle alternative to acid exfoliation.",
ingr_0207,Benzyl Benzoate,벤질벤조에이트,,A common fragrance ingredient that has a faint sweet balsamic smell . It can also be a solvent and can fight against microbes and insects very well. It's one of the “EU 26 fragrances” that has to be labelled separately because of allergen potential . Best to avoid if your skin is sensitive.,
ingr_0208,Hydroxycitronellal,하이드록시시트로넬알,,"A common fragrance ingredient that has a sweet scent somewhere between lily and fruity melon. Can be found in essential oils, such as lavender oil, orange flower oil or ylang-ylang. In cosmetics, it can be used up to 1%. It’s one of the “EU 26 fragrances” that has to be labelled separately (and cannot be simply included in the term “fragrance/perfume” on the label) because of allergen potential. Best to avoid if your skin is sensitive.",
ingr_0209,Chondrus Crispus Extract,카라기난추출물,,"The extract of red seaweed that has nice film-forming, skin smoothing and moisturizing properties.​ The manufacturer claims that thanks to biomimetic properties between skin proteins and carrageenans it has a very long-lasting action and can form a ""second skin"". It also gives a ""slow-release"" effect to oil-loving active ingredients and measurably reduces trans-epidermal water loss (that's pretty much a synonym of saying that it moisturizes the skin).",
ingr_0210,Lactobacillus/​Punica Granatum Fruit Ferment Extract,락토바실러스/석류발효추출물,,It's the fancy name for pomegranate enzyme that's obtained by fermenting the pomegranate fruit with Lactobacil­lus lactis. The fermentation process makes the desired phytochemicals readily available and selective filtration techniques are used to isolate the  proteolytic frac­tions. The end result is the enzyme that increases cell renewal and can be an alternative to acid exfoliation (though it is not as effective as glycolic acid even according to the manufacturer's measurements not to speak about the other benefits of glycolic acid).,
ingr_0211,Hydrolyzed Wheat Protein,하이드롤라이즈드밀단백질,,"A chemically chopped up version of wheat protein that consists mainly of amino acids (the building blocks), peptides (a couple of amino acids together), and proteins (lots of amino acids together). It has moisturizing and film-forming properties and  might be able to counteract the irritating effects of cleansing agents in cleansers and shampoos. It can also condition and repair damaged hair leaving it soft, silky and smooth.",
ingr_0212,Caprylhydroxamic Acid,카프릴하이드록사믹애씨드,,"A chelating agent that helps to preserve cosmetic products by neutralizing the metal ions (especially iron) in the formula (that usually get into there from water). Its special thing is that it also acts as a biostatic and fungistatic agent and remains active even at high pH. It is often coupled with antimicrobial glycols (such as propanediol ) to create a "" preservative free preservative system "" for cosmetic products.",
ingr_0213,Glutamylamidoethyl Imidazole,글루타밀아미도에틸이미다졸,,"An anti-aging chrono pepti de that mimics sun exposure activation of the circadian genes (they are essential in having a proper biorhythm). The manufacturer recommends the ingredient for tired, stressed, jet-lagged skin or skin that lacks sun exposure. It's claimed to stimulate the skin's natural defense system and might help the skin to produce Vitamin D.",
ingr_0214,Tetrahydrodiferuloylmethane,테트라하이드로디페룰로일메탄,,"A standardized powdered extract from the roots of the Curcuma longa (Turmeric) plant (together with this and this ).  The trio is called Tetrahydrocurcuminoids (THC) and has skin-brightening, anti-inflammatory and antioxidant magic properties. Other turmeric extracts have brilliant yellow color that makes them difficult to use but this one is color-free.",
ingr_0215,Tetrahydrobisdemethoxydiferuloylmethane,테트라하이드로비스데메톡시디페룰로일메탄,,"It's one of those ingredients that defies the *BS* theory that if you cannot pronounce it, it must be an evil synthetic and you should not put it on your face. It comes from the well-known Indian spice, turmeric and is part of a trio called Tetrahydrocurcuminoids (THC). You can read more about THC's good properties here .",
ingr_0216,Tetrahydrodemethoxydiferuloylmethane,테트라하이드로데메톡시디페룰로일메탄,,"Comes from the well-known Indian spice, turmeric and is part of a trio called Tetrahydrocurcuminoids (THC). You can read more about THC's good properties here .",
ingr_0217,Glycine,글라이신,,"A non-essential amino acid (the building blocks of skin proteins, like collagen or elastin), that the body can produce itself, but its production decreases with age. When you put it all over your face, it works as a moisturizer and maybe more. According to great skincare blog Futurederm , glycine might help with wound healing and tissue repair and when used together with other amino acids, leucine and proline it might improve wrinkles . BTW, it's also a building block of a bunch of important and famous peptides, including copper-tripeptide-1 , palmitoyl tripeptide-1 or palmitoyl hexapeptide-12 .",
ingr_0218,Maltodextrin,말토덱스트린,,"It's a little helper ingredient coming from corn, rice or potato starch that can help to keep skin mat (absorbent), to stabilise emulsions , and to keep the product together (binding).",
ingr_0219,Eugenol,유제놀,,"A colorless or yellowish oil that's used as a fragrance . It has a spicy scent and can be found for example in basil, clove or cinnamon oil. A 2006 in-vitro  (made in the lab not on real people) study examined if clove oil is cytotoxic and found that not only clove oil but also its main constituent, eugenol is cytotoxic even at very low concentration (0.03%). It’s also one of the “EU 26 fragrances” that has to be labelled separately (and cannot be simply included in the term “fragrance/perfume” on the label) because of allergen potential. Best to avoid at least in leave-on products.",
ingr_0220,Methylchloroisothiazolinone,메칠클로로이소치아졸리논,,"This totally unpronounceable ingredient (let’s take a shortcut: MCI) is a super effective preservative with both antibacterial and antifungal effects that works at very low concentrations. The bad news with it though is that it can sensitize the skin easily (it’s a so-called non-fragrance allergen ). It’s not permitted to be used alone, but only with its BFF, methylisothiazolinone (MI), another icky preservative. Together they have a broad spectrum antimicrobial effect but are permitted to be used only in rinse-off products ( under 0.0015% ).",
ingr_0221,Helianthus Annuus Seed Oil,해바라기씨 오일,,"Sunflower does not need a big intro as you probably use it in the kitchen as cooking oil, or you munch on the seeds as a healthy snack or you adore its big, beautiful yellow flower during the summer - or you do all of these and probably even more. And by even more  we mean putting it all over your face as sunflower oil is one of the most commonly used plant oils in skincare . It’s a real oldie: expressed directly from the seeds, the oil is used not for hundreds but thousands of years . According to The National Sunflower Association , there is evidence that both the plant and its oil were used by American Indians in the area of Arizona and New Mexico about 3000 BC. Do the math: it's more than 5000 years – definitely an oldie. Our intro did get pretty big after all (sorry for that), so let's get to the point finally: sunflower oil - similar to other plant oils - is a great emollient that makes the skin smooth and nice and helps to keep it hydrated. It also protects the surface of the skin and enhances the damaged or irritated skin barrier . Leslie Bauman notes in Cosmetic Dermatology that one application of sunflower oil significantly speeds up the recovery of the skin barrier within an hour and sustains the results 5 hours after using it. It's also loaded with fatty acids (mostly linoleic (50-74%)  and oleic (14-35%)). The unrefined version (be sure to use that on your skin!) is especially high in linoleic acid that is great even for acne-prone skin . Its comedogen index is 0, meaning that it's pretty much an all skin-type oil . Truth be told, there are many great plant oils and sunflower oil is definitely one of them.",
ingr_0222,Rosa Damascena Flower Water,다마스크 장미꽃수,,"The flower water coming from the flowers of the Damask Rose . In general, flower waters (also called hydrosols) are diluted versions of essential oils coming from the same plant. They contain the same components but in much-reduced concentrations. Similar to its big sister, rose oil , rose water also has a lovely, relaxing scent . It contains some antioxidant and antimicrobial compounds , as well as some fragrant components . If your skin is super sensitive, it is a good idea to choose products without fragrant floral waters.",
ingr_0223,PEG-7 Glyceryl Cocoate,PEG-7 글리세릴코코에이트,,"A clear, light yellow water-loving oil that comes from coconut/palm kernel oil and glycerin. It's a mild cleansing agent popular in baby washes and sensitive skin formulas. It's also a so-called solubilizer that helps to dissolve oils and oil-soluble ingredients (e.g.essential oils or salicylic acid) in water-based formulas.",
ingr_0224,PEG-100 Stearate,PEG-100 스테아레이트,,"A very common water-loving surfactant and emulsifier that helps to keep water and oil mixed nicely together. It's often paired with glyceryl stearate - the two together form a super effective emulsifier duo that's salt and acid tolerant and works over a wide pH range. It also gives a ""pleasing product aesthetics"", so no wonder it's popular.",
ingr_0225,Poloxamer 184,폴록사머 184,,"A synthetic polymer (a big molecule made of repeated units) that's used as a mild cleansing agent . It is also used in contact lens solutions and a regular on the ingredient lists of micellar cleansing waters. Chemically speaking, it is an interesting molecule with an oil-loving part in the middle surrounded by two water-loving parts. The numbers in the molecule refer to the overall molecular size and the water-loving part in it (40%). Poloxamer 184 is almost half-half oil and water-soluble, likes to form micelles (molecules gathered into a ball form with oil-loving parts inside and water-loving parts outside)  and is claimed to be an effective cleansing agent that is also mild on the skin and the eyes. If you wanna know more about poloxamers, we have some more info at Poloxamer 407 >>",
ingr_0226,Xylitylglucoside,자일리틸글루코사이드,,"The main part of a moisturizing complex called Aquaxyl . Comes from two water-binding plant sugars, glucose and xylitol . According to the manufacturer, Aquaxyl is close to a magic moisturizer that not only simply moisturizes, but can "" harmonize the skin's hydrous flow "". This means that on the one side it can optimize water reserves by increasing important NMFs (natural moisturizing factors - things that are naturally in the skin and help to keep it hydrated) - like hyaluronic acid and chondroitin sulfate -  in the skin. On the other side, it also limits water loss by improving the skin barrier with increased lipid (ceramides and cholesterol) and protein synthesis. In vivo (made on real people) tests show that 3% Aquaxyl not only increases the water content of the outer layer instantly and in the long run but it also visibly improves cracked, dry skin and smoothes the skin surface after a month of treatment. The hydrating effect of Aquaxyl was also examined in a comparative study in the Journal of Cosmetic Dermatology. Four humectants were examined in combination with 5% glycerin in a hydrogel formula and one with 4% Aquaxyl performed as well as the well-known moisturizer, urea and somewhat better than the formula containing NMF components or hydrating plant extract called Imperata Cylindrica . All in all,  Aquaxyl is a goodie and if you have dehydrated, dry skin it's something to look at.",
ingr_0227,Symphytum Officinale Root Extract,컴프리 뿌리 추출물,,"A medicinal plant with analgesic (painkilling) and anti-inflammatory magic properties. It contains allantoin and rosmarinic acid that are probably responsible for its soothing power. It's often used in the field of sports for treating bruises or sprains . The questionable side of comfrey (that prevented us from giving it a goodie rating) is that it also contains pyrrolizidine alkaloids (PA). That guy has some proven toxic effect so for example in Germany the permissibale dose of PA is 100 μg/day and if the dose is between 10-100 μg/day the treatment is limited to 4-6 weeks per year. But do not panic: most probably your skincare product does not contain anywhere near that dose. For example, a German sport-ointment to treat ankle sprains contains only 0.35 μg/g PA, so even with four uses per day, the dose is way below 10 μg/g. The same is probably true for your skincare product.",
ingr_0228,Polysorbate 80,폴리소르베이트 80,,"A common little helper ingredient that helps water and oil to mix together, aka emulsifier. The number at the end refers to the oil-loving part and the bigger the number  the more emulsifying power it has. 20 is a weak emulsifier, rather called solubilizer used commonly in toners while 60 and 80 are more common in serums and creams.",
ingr_0229,Anhydroxylitol,안하이드로자일리톨,,A sugar derived moisturizer that's part of a moisturizing trio called Aquaxyl. You can read more about its magic properties at xylitylglucoside .,
ingr_0230,Ethylhexyl Methoxycinnamate,에칠헥실메톡시신나메이트,,"A clear, oil-soluble, ""cosmetically-elegant"" liquid that is the most commonly used chemical sunscreen. It absorbs UVB radiation (at wavelengths: 280-320 nm) with a peak protection at 310nm. It only protects against UVB and not UVA rays (the 320-400 nm range) – so always choose products that contain other sunscreens too. It is not very stable either, when exposed to sunlight, it kind of breaks down and loses its effectiveness (not instantly, but over time - it loses 10% of its SPF protection ability within 35 mins). To make it more stable it can be - and should be - combined with other sunscreen agents to give stable and broad-spectrum protection (the new generation sunscreen agent, Tinosorb S is a particularly good one for that). Regarding safety, there are also some concerns around Octinoxate. In vitro (made in the lab not on real people) and animal studies have shown that it may produce hormonal (estrogen-like) effects. Do not panic , the studies were not conducted under real life conditions on real human people, so it is probably over-cautious to avoid Octinoxate altogether. However, if you are pregnant or a small child (under 2 yrs. old), choose a physical ( zinc oxide / titanium dioxide ) or new-generation Tinosorb based sunscreen, just to be on the super-safe side. :) Overall , Ethylhexyl Methoxycinnamate is an old-school chemical sunscreen agent. There are plenty of better options for sun protection today, but it is considered ""safe as used"" (and sunscreens are pretty well regulated) and it is available worldwide (can be used up to 10% in the EU and up to 7.5% in the US).",
ingr_0231,Xylitol,자일리톨,,A type of sugar that's part of a moisturizing trio called Aquaxyl. You can read more about its magic properties at xylitylglucoside .,
ingr_0232,Ammonium Polyacryloyldimethyl Taurate,암모늄폴리아크릴로일다이메틸타우레이트,,"There is not much info about this guy in itself other than it helps to thicken up products and stabilize oil-in-water emulsions . It usually comes to the formula as part of some thickener complex. For example, coupled with isohexadecane and polysorbate 80 , the trio forms an instant gel upon mixing with water.",
ingr_0233,Benzoic Acid,벤조익애씨드,,"An Ecocert-approved, natural preservative that counts as gentle and non-irritating to the skin. Usually, it comes to the formula as part of a preservative blend as it's not enough on its own.",
ingr_0234,PEG-75,피이지-75,,"A little helper ingredient that gives the formula a good slip and helps to solubilize other ingredients. It also has binding, softening and moisturizing properties. Comes in the form of water-soluble white powder.",
ingr_0235,Lactobacillus Ferment,락토바실러스발효물,,"Lactobacillus ferment is an interesting probiotic ingredient with some promising properties. First, according to a 2009 Estee Lauder patent , it’s a DNA repair enzyme and it can help to protect the skin against environmental aggressors . Second, still according to Estee Lauder research but now from 2012 the ingredient has anti-microbial and anti-inflammatory properties and holds promise in the treatment of acne and rosacea. For the former one 5% was needed to show effectiveness, but for reducing skin sensitivity already 1% showed results. The anti-acne effect is confirmed also by US manufacturer, Barnet , that says that Lactobacillus ferment is helpful in killing harmful bacteria and creating a healthy balanced microflora. Compared to well-known anti-acne and anti-inflammatory salicylic acid the probiotic worked faster at reducing the size and redness of acne lesions. It also goes by the trade name Leucidal Liquid SF and can serve in the formula as a natural preservative. Bottom line: It’s not the most proven ingredient (yet) but definitely a very promising one especially if you have sensitive skin, acne or rosacea.",
ingr_0236,Acetyl Hexapeptide-8,아세틸헥사펩타이드-8,,"If you see a cosmetic product that claims that it has "" Botox-like effect "" then two things are almost certain: one, the product overpromises and two, it contains Argireline. So this one is the famous peptide that's marketed by its manufacturer as the ""Botox in a jar"". The basis for this claim is that it targets the same wrinkle forming mechanism ( wrinkles caused by facial muscle movement ) as Botox, but the way it works is very different. In addition, the extent to which it can prevent muscles from contracting (and to smooth wrinkles) is very different (otherwise why would anyone use still Botox?). The manufacturer did several studies to prove that Argireline really works and it does (just not as well as Botox). In-vivo (made on real people) tests showed that using 10% Argireline solution around the eyes for 15 days decreased wrinkles depth by 17%, while a 5% Argireline formula applied for 28 days did almost the same with a decrease in wrinkle depth by 16.26% . A Spanish University also did some research and found that Argireline increased the level of skin moisturization and decreased both the depth and width of wrinkles ""significantly"". This means, Acetyl Hexapeptide-8 does have some ability to smooth wrinkles (but not as well as Botox - sorry, if we sound like a broken record). Also, we have to agree with TruthInAging , that it's not a collagen builder and not a preventer of structural aging (think vitamin C , AHAs or retinol ); it's just a quick fix. If you are looking for one, this could be your thing. If you are more of a ""let's treat this aging thing properly"" type, then it's probably not your thing.",
ingr_0237,Caffeine,카페인,,"Hello, our favorite molecule that helps us wake up in the morning and then keeps us going through the day. As a super well-known stimulant from coffee , tea and plenty of other soft drinks, Caffeine needs no introduction. So we will skip right to the part where we talk about what the hell it does in so-so many cosmetic products. Looking at the research, we were surprised to find how versatile Caffeine is. It is a small, water-loving molecule with pretty good skin penetration abilties. Once in the skin, it has nice antioxidant properties , meaning that it reduces the formation of evil free radicals and it might even be useful in preventing UV-induced skin cancers. A well-known thing about Caffeine is that it improves the microcirculation of the blood vessels . Though conventional wisdom and anecdotal evidence says that this property is helpful for dark under-eye circles and puffy eyes , we have to mention that the double-blind research we have found about a 3% caffeine gel concluded that "" the overall efficacy of the selected caffeine gel in reducing puffy eyes was not significantly different from that of its gel base .""  But you know, the proof is in the pudding. Another thing Caffeine is used for in body care products is its anti-cellulite effects . In theory, it can speed up the lipolysis process (the ""fat burning""  by our cells) and stimulate the draining lymph system that might lead to the improvement of cellulite. But here again, the evidence that it actually makes a measurable, let alone visible,  improvement on actual human beings is limited (we could find only some animal skin studies or caffeine being combined with other actives). Last, but not least, we have to write about caffeine and hair growth . The theory is that it can inhibit the activity of the 5-α-reductase enzyme that plays an important role in hair loss and allows a renewed growth phase of the hair. We have found some recent and promising research to back this up. A 2017 study compared a 0.2% caffeine liquid with a 5% Minoxidil  (an FDA approved active to treat baldness) solution and found that  "" a caffeine-based topical liquid should be considered as not inferior to minoxidil 5% solution in men with androgenetic alopecia "", or English translation means that the caffeine liquid was pretty much as good as the FDA-approved Minoxidil stuff. Not bad! Overall , we think that caffeine is a very versatile and biologically active ingredient. Even though some of its effects are more hyped up than backed up, it is still a nice to have on many ingredient lists.",
ingr_0238,Betula Alba Bark Extract,흰자작나무껍질추출물,,"It's the extract from the silver-white bark of the Birch tree that grows on moors in North and Middle Europe and in North America. It contains tannins and triterpenes that give the extract antioxidant, anti-irritant and astringent magic properties. There is also research showing that birch bark extract can improve the skin barrier , increase skin hydration and reduce trans-epidermal water loss.  Can be a useful ingredient both for dry and oily skin.",
ingr_0239,Silybum Marianum Extract,밀크씨슬추출물,,"The extract of a plant with nice purple flowers that's loaded with the phytochemical called silymarin . You have probably never heard of silymarin but let us tell you it's a pretty awesome ingredient. There are quite a lot of research showing it can do all kinds of good things when taken orally : it has a proven ability to protect you from liver damage, and it also shows powerful antioxidant, anticarcinogenic, protective and regenerative properties with no more side effects than placebo. But what about skincare? Well, there is less research about its topical use but it definitely deserves the goodie status: it's a potent antioxidant, an anti-inflammatory agent and it's  also a great UV-protectant . It's useful as a complementary treatment for rosacea, keeping the skin hydrated and it's also a super nice addition to any sunscreen product thanks to its unique UV-protecting abilities.",
ingr_0240,Anthemis Nobilis Flower Extract,캐모마일꽃추출물,,"There are two primary types of Chamomile, the German and the Roman. Both has soothing properties, but the German one contains more anti-inflammatory actives (like chamazulene). The anti-inflammatory action of the Roman Chamomile is due to phenolic compounds and - according to manufacturer info - it also has some nice skin toning properties.",
ingr_0241,Cyclohexasiloxane,사이클로헥사실록세인,,"A light-feeling, volatile (meaning it does not absorb into the skin but evaporates from it) silicone that gives skin a unique, silky and non-greasy feel . It has excellent spreading properties and leaves no oily residue or build-up.",
ingr_0242,PPG-5-Ceteth-20,피피지-5-세테스-20,,"A helper ingredient that can solubilize challenging oils and oil-loving actives into cleansing products. It also has emollient, emulsifying , and wetting properties.",
ingr_0243,Oleth-10,올레스-10,,"A useful ingredient that helps water and oil to mix nicely together ( emulsifier ). It has a liquide-pasty texture and is recommended for skincare, haircare and shaving products.",
ingr_0244,Dimethicone,다이메티콘,,"Probably the most common silicone of all. It is a polymer (created from repeating subunits) molecule and has different molecular weight and thus different viscosity versions from water-light to thick liquid. As for skincare, it makes the skin silky smooth , creates a subtle gloss and forms a protective barrier (aka occlusive). Also, works well to fill in fine lines and wrinkles and give skin a plump look (of course that is only temporary, but still, it's nice). There are also scar treatment gels out there using dimethicone as their base ingredient. It helps to soften scars and increase their elasticity. As for hair care, it is a non-volatile silicone meaning that it stays on the hair rather than evaporates from it and smoothes the hair like no other thing. Depending on your hair type, it can be a bit difficult to wash out and might cause some build-up (btw, this is not true to all silicones, only the non-volatile types).",
ingr_0245,Hydroxyethyl Urea,하이드록시에틸우레아,,"A derivative of Urea , that works as a strong moisturizer and humectant meaning that it helps the skin to cling onto water and thus to make it hydrated and elastic. According to manufacturer's data ,  Hydroxyethyl Urea has a similar moisturizing ability to glycerin (measured at 5%), but it feels nicer on the skin as it is non-sticky and non-tacky and gives a lubricous and moist feeling to the skin.",
ingr_0246,PEG-8,피이지-8,,"A smallish polymer molecule (created from repeated units of Polyethylene glycol, aka PEG) that's used as a solubilizer and viscosity control agent . It is a clear, colorless liquid that is water-soluble and water-binding (aka humectant) and can help to solubilize sparingly-water soluble things (e.g. vanilla, perfumes) into water-based formulas. Thanks to its water-binding ability, it also prevents the drying out of formulas , especially when combined with the fellow hygroscopic agent, sorbitol .",
ingr_0247,Magnesium Ascorbyl Phosphate,마그네슘아스코빌포스페이트,,"A form of skincare superstar, Vitamin C . If you do not know, what the big deal about Vitamin C is, click here and read all about it , we will wait here for you. So now you know that pure vitamin C (aka ascorbic acid, AA) is really unstable and hard to formulate so the cosmetics industry is coming up with a bunch of derivatives to solve the problem and Magnesium Ascorbyl Phosphate (or MAP) is one of them. MAP does solve the stability problem: it's stable up to pH 7, so far so good. What is not so good is that, as the great review study about vitamin C derivatives in the Journal of Cosmetic Dermatology writes, MAP is ""at very best, poorly absorbed in comparison to AA."" Moreover,  derivatives not only have to be absorbed into the skin, they also have to be converted into pure AA. The good news is that in-vitro data shows that MAP does convert , but the bad news is we do not really know if the same is true on real, living human skin. Even if it does, we don't know how good the conversion rate is (but to be fair the same is true for all other derivatives ). Regarding the three magic abilities of pure vitamin C (antioxidant, collagen booster, skin brightener), there is no published data about MAP's antioxidant or photoprotection capabilities. We have better news about the other two things: in-vitro data shows that MAP can boost collagen synthesis similar to AA (though in the case of AA it's proven in-vivo) and even better, MAP is proven to work as a skin brightener in-vivo (on real people). Bottom line : when it comes to vitamin C derivatives, MAP is definitely an option. We especially recommend it if you are after skin brightening as this seems to be the strongest point of MAP.",
ingr_0248,Behentrimonium Methosulfate,베헨트라이모늄메토설페이트,,"In itself, it's an antistatic (stops your hair from flying around because of electricity), hair conditioning and softening ingredient used mainly in haircare products. Coupled with Cetearyl Alcohol , they form an easy to handle, super stable emulsifier duo that has exceptional spreadability and gives a pleasant final touch to the products.",
ingr_0249,Ceramide NP,세라마이드엔피,,"One of the many types of ceramides that can be found naturally in the upper layer of the skin. Ceramides make up about 50% of the goopy stuff that's between our skin cells and play a super important role in having a healthy skin barrier and keeping the skin hydrated . It works even better when combined with its pal, Ceramide 1. We wrote way more about ceramides at ceramide 1, so click here to know more.",
ingr_0250,Cholesterol,콜레스테롤,,"It's one of the important lipids that can be found naturally in the outer layer of the skin. About 25% of the goopy stuff between our skin cells consists of cholesterol . Together with ceramides and fatty acids, they play a vital role in having a healthy skin barrier and keeping the skin hydrated. Apart from being an important skin-identical ingredient, it's also an emollient and stabilizer .",
ingr_0251,Ci 14700,적색 40호,,A common colorant that gives products a nice red color.,
